profession-capability-framework	profession-capability-framework-cluster	profession-capability-framework-job-family	profession-capability-framework-job-title	profession-capability-framework-capability-type	profession-capability-framework-capability	profession-capability-framework-mastery-level	start-date	end-date
11152	13	116	1063	1	1105	13		
11153	13	117	1066	1	1105	13		
11154	13	118	1070	1	1105	13		
11155	13	116	1061	1	1105	14		
11156	13	117	1065	1	1105	14		
11157	13	118	1069	1	1105	14		
11158	13	116	1064	1	1105	12		
11159	13	117	1067	1	1105	12		
11160	13	118	1071	1	1105	12		
11161	12	113	1153	1	1106	11		
11162	16	138	1054	2	1106	11		
11163	16	138	1049	2	1106	13		
11164	12	113	1130	1	1106	12		
11165	16	138	1053	2	1106	11		
11166	12	113	1128	1	1106	14		
11167	16	138	1050	2	1106	13		
11168	12	113	1127	1	1106	14		
11169	12	113	1129	1	1106	13		
11170	16	138	1051	2	1106	13		
11171	16	138	1052	2	1106	12		
11172	15	129	1137	1	1107	12		
11173	15	129	1134	1	1107	14		
11174	15	129	1135	1	1107	13		
11175	15	129	1136	1	1107	12		
11176	14	126	1140	1	1108	13		
11177	14	127	1142	1	1108	14		
11178	14	128	1146	1	1108	13		
11179	14	127	1144	1	1108	12		
11180	14	127	1143	1	1108	13		
11181	14	128	1147	1	1108	13		
11182	14	128	1148	1	1108	12		
11183	14	126	1141	1	1108	13		
11184	14	127	1145	1	1108	11		
11185	14	128	1149	1	1108	11		
11186	15	129	1137	1	1109	11		
11187	13	116	1062	1	1109	11		
11188	13	117	1068	1	1109	11		
11189	13	118	1072	1	1109	11		
11190	15	129	1134	1	1109	12		
11191	12	113	1130	1	1109	11		
11192	15	129	1135	1	1109	12		
11193	13	116	1063	1	1109	13		
11194	13	117	1066	1	1109	13		
11195	13	118	1070	1	1109	13		
11196	12	113	1128	1	1109	13		
11197	13	116	1061	1	1109	14		
11198	13	117	1065	1	1109	14		
11199	13	118	1069	1	1109	14		
11200	12	113	1127	1	1109	13		
11201	15	129	1136	1	1109	12		
11202	13	116	1064	1	1109	12		
11203	13	117	1067	1	1109	12		
11204	13	118	1071	1	1109	12		
11205	12	113	1129	1	1109	12		
11206	11	101	1011	2	1110	12		
11207	11	101	1012	2	1110	11		
